Size-Code,Size-Name
00,XS
01,S
02,M
03,L
04,XL
05,XXL
07,4-6
08,7-9
0e,37.
0f,38.
0h,39.5
0j,41.
0k,42.
0l,43.
0n,44.5
0p,46.
0r,48.
0w,52.
12,S/M
13,3XL
14,4XL
15,5XL
16,6XL
17,7XL
18,3XS
19,XXS
20,8XL
23,M/L
26,92
27,98
2a,6_2XS
2b,8_XS
2c,10_S
2d,12_M
2e,14_L
2f,16_XL
2g,18_XXL
2h,20_3XL
2i,22_4XL
2j,24_5XL
2k,26_6XL
2l,28_7XL
33,6
34,L/XL
35,XL/2XL
36,2XL/3XL
44,24
45,2
46,26
47,28
48,30
49,32
50,34
51,36
52,38
53,40
54,42
55,44
56,46
57,48
58,50
59,52
5c,146
5d,148
5e,150
5f,152
5g,154
5h,156
60,1-2
61,3-4
62,5-6
63,7-8
64,9-11
65,12-14
66,15-16
67,6-8
68,8-10
69,10-12
6b,88
6c,92
6d,96
6e,100
6f,104
6g,108
6h,112
6i,116
6j,120
6k,124
70,6 M
71,12 M
72,18 M
73,24 M
74,0-3
75,3-6
77,7
78,8
79,9
80,10
81,11
82,2 Y
83,3 Y
84,4 Y
85,6 Y
86,8 Y
87,10 Y
88,12 Y
89,14 Y
8a,Toddler
8c,Kids
8e,child
8h,Youth
8i,regular
8j,large
8z,12
90,XS/S
91,6-12
92,12-18
93,18-24
94,18-23
95,9-10
96,11-12
97,13-14
99,onesize
a0,92
a1,90
a2,98
a3,104
a4,116
a5,128
a6,140
a7,152
a8,164
ac,3M
af,6M
ai,9M
al,12M
ar,18M
as,36M
at,24M
b2,35-38
b3,39-41
b4,42-44
b5,45-47
b8,25-31
b9,32-38
ba,(56)
bb,(58)
c0,39-44
c1,45-50
c3,54
c5,56
c7,58
c9,60
cn,CZ N
cp,CZ P
d1,62
d4,68
d5,74
d6,80
d7,86
d8,92
da,64
db,66
dc,DE CHF
dd,68
de,70
df,72
dg,74
dn,DE N
dp,DE P
e3,S_305
e4,M_404
e5,L_505
en,EN N
ep,EN P
f2,3_(36)
f4,4_(37)
f6,5_(38)
f8,6_(39)
fn,FR N
fp,FR P
g0,6.5_(40)
g2,6_(40)
g4,7_(41)
g6,8_(42)
g8,9_(43)
h1,10_(44)
h2,10_(44.5)
h3,11_(45)
h4,11_(46)
h5,12_(46)
h6,12_(47)
h8,13_(48)
hn,HU N
hp,HU P
i1,68/74
i2,80/92
i3,98/110
i4,116/128
i5,135/150
i6,152/164
in,IT N
ip,IT P
j2,152
j3,164
j5,38/40
j6,42/44
j7,35/38
j8,39/42
j9,43/46
jb,"13,5"
jc,14
jd,"14,5"
je,15
jf,"15,5"
jg,16
jh,"16,5"
ji,17
jj,"17,5"
jk,18
jl,"18,5"
jm,19
jn,"19,5"
jo,20
jp,21
jq,22
jr,23
k0,36-38
k1,35-38
k2,39-42
k3,43-45
k4,46-48
k5,43-46
k6,47-50
k9,(24)
l0,(25)
l1,(26)
l2,(27)
l3,(28)
l8,(34)
m0,(36)
m2,(38)
m4,(40)
m6,(42)
m8,(44)
n1,(46)
n3,(48)
n5,(50)
n7,(52)
n9,(54)
o1,(56)
o3,(58)
o5,(60)
o7,(62)
o9,(64)
p1,(66)
p3,(68)
pn,PL N
pp,PL P
q1,50/56
q2,56/62
q3,62/68
q4,68/74
q5,74/80
q6,80/86
q9,(94)
r3,(98)
r7,(102)
rn,RO N
rp,RO P
s1,(106)
s5,(110)
sn,SI N
sp,SI P
t1,12-13
t2,14-15
t9,(34)
u1,(36)
u2,(37)
u3,(38)
u4,(39)
u5,(40)
u6,(41)
u7,(42)
u8,(43)
u9,(44)
ub,98-104
uc,110-116
ud,122-128
ue,134-140
uf,146-152
ug,158-164
uh,170-176
v1,(45)
v2,(46)
v4,(48)
v6,(50)
v8,(52)
v9,(54)
w0,4/6
w1,6/8
w2,8/10
w3,10/12
w4,12/14
w5,16/18
w6,20/22
wy,30
xa,32
xb,33
xc,34
xd,35
xe,36
xf,37
xg,38
xh,39
xi,40
xj,41
xk,42
xl,43
xm,44
xn,45
xo,46
xp,47
xq,48
xr,49
xs,50
xt,51
xu,52
xv,53
xw,54
xx,oversize
y1,92/98
y2,104/110
y3,116/122
y4,128/134
y5,140/146
y6,152/158
z1,(4-6)
z2,(8-10)
z3,(12-14)
z5,2-3
z6,2-4
z7,3XL/4XL
z8,4-5
z9,XXS/XS
za,XS/S
zb,M/L
zc,XL/XXL
zd,S/M
ze,L/XL
zf,XXL/3XL
zg,4XL/5XL
zh,M/XL
zi,XXL/4XL
zj,36/37
zk,38/39
zl,40/41
zm,42/43
zn,44/45
zo,27-31
zp,32-36
zq,37-41
zr,42-46
